模块,原图,标注图,编号,说明,可见对象键
PLC写,011-PLC写.png,011-PLC写.png,1,选择通信设备或信号来源,选择通信设备或信号来源
PLC写,011-PLC写.png,011-PLC写.png,2,设置PLC写参数,设置PLC写参数
PLC写,011-PLC写.png,011-PLC写.png,3,保存或确认配置,保存或确认配置
PLC读,012-PLC读.png,012-PLC读.png,1,选择通信设备或信号来源,选择通信设备或信号来源
PLC读,012-PLC读.png,012-PLC读.png,2,设置PLC读参数,设置PLC读参数
PLC读,012-PLC读.png,012-PLC读.png,3,保存或确认配置,保存或确认配置
PLC软触发,013-PLC软触发.png,013-PLC软触发.png,1,选择通信设备或信号来源,选择通信设备或信号来源
PLC软触发,013-PLC软触发.png,013-PLC软触发.png,2,设置PLC软触发参数,设置PLC软触发参数
PLC软触发,013-PLC软触发.png,013-PLC软触发.png,3,保存或确认配置,保存或确认配置
PLC通信,014-PLC通信.png,014-PLC通信.png,1,设备列表与新增入口,设备列表与新增入口
ROI结果绘制,015-ROI结果绘制.png,015-ROI结果绘制.png,1,选择输入图像或上游结果,选择输入图像或上游结果
ROI结果绘制,015-ROI结果绘制.png,015-ROI结果绘制.png,2,设置ROI结果绘制关键参数,设置ROI结果绘制关键参数
ROI结果绘制,015-ROI结果绘制.png,015-ROI结果绘制.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
ROI结果绘制,015-ROI结果绘制.png,015-ROI结果绘制.png,4,执行并确认,执行并确认
ROI结果绘制2,016-ROI结果绘制2.png,016-ROI结果绘制2.png,1,选择输入图像或上游结果,选择输入图像或上游结果
ROI结果绘制2,016-ROI结果绘制2.png,016-ROI结果绘制2.png,2,设置ROI结果绘制2关键参数,设置ROI结果绘制2关键参数
ROI结果绘制2,016-ROI结果绘制2.png,016-ROI结果绘制2.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
ROI结果绘制2,016-ROI结果绘制2.png,016-ROI结果绘制2.png,4,执行并确认,执行并确认
TCP响应,017-TCP响应.png,017-TCP响应.png,1,选择通信设备或信号来源,选择通信设备或信号来源
TCP响应,017-TCP响应.png,017-TCP响应.png,2,设置TCP响应参数,设置TCP响应参数
TCP响应,017-TCP响应.png,017-TCP响应.png,3,保存或确认配置,保存或确认配置
TCP请求,018-TCP请求.png,018-TCP请求.png,1,选择通信设备或信号来源,选择通信设备或信号来源
TCP请求,018-TCP请求.png,018-TCP请求.png,2,设置TCP请求参数,设置TCP请求参数
TCP请求,018-TCP请求.png,018-TCP请求.png,3,保存或确认配置,保存或确认配置
TCP通信,019-TCP通信.png,019-TCP通信.png,1,设备列表与新增入口,设备列表与新增入口
三维相机,020-三维相机.png,020-三维相机.png,1,选择三维相机,选择三维相机
三维相机,020-三维相机.png,020-三维相机.png,2,设置图像模式和取图参数,设置图像模式和取图参数
三维相机,020-三维相机.png,020-三维相机.png,3,确认三维取图配置,确认三维取图配置
串口发送,021-串口发送.png,021-串口发送.png,1,选择通信设备或信号来源,选择通信设备或信号来源
串口发送,021-串口发送.png,021-串口发送.png,2,设置串口发送参数,设置串口发送参数
串口发送,021-串口发送.png,021-串口发送.png,3,保存或确认配置,保存或确认配置
串口通信,022-串口通信.png,022-串口通信.png,1,设备列表与新增入口,设备列表与新增入口
主界面与视图管理,023-主界面与视图管理.png,023-主界面与视图管理.png,1,菜单和常用工具栏,菜单和常用工具栏
主界面与视图管理,023-主界面与视图管理.png,023-主界面与视图管理.png,2,方案与流程标签页,方案与流程标签页
主界面与视图管理,023-主界面与视图管理.png,023-主界面与视图管理.png,3,图像和运行监控区域,图像和运行监控区域
二值化分析,024-二值化分析.png,024-二值化分析.png,1,选择输入图像或上游结果,选择输入图像或上游结果
二值化分析,024-二值化分析.png,024-二值化分析.png,2,设置二值化分析关键参数,设置二值化分析关键参数
二值化分析,024-二值化分析.png,024-二值化分析.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
二值化分析,024-二值化分析.png,024-二值化分析.png,4,执行并确认,执行并确认
二维工业相机,025-二维工业相机.png,025-二维工业相机.png,1,选择相机品牌和设备,选择相机品牌和设备
二维工业相机,025-二维工业相机.png,025-二维工业相机.png,2,搜索在线相机,搜索在线相机
二维工业相机,025-二维工业相机.png,025-二维工业相机.png,3,填写相机自定义名称,填写相机自定义名称
二维工业相机,025-二维工业相机.png,025-二维工业相机.png,4,添加相机,添加相机
二维码识别,026-二维码识别.png,026-二维码识别.png,1,选择输入图像或上游结果,选择输入图像或上游结果
二维码识别,026-二维码识别.png,026-二维码识别.png,2,设置二维码识别关键参数,设置二维码识别关键参数
二维码识别,026-二维码识别.png,026-二维码识别.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
二维码识别,026-二维码识别.png,026-二维码识别.png,4,执行并确认,执行并确认
位置修正,027-位置修正.png,027-位置修正.png,1,启用位置修正,启用位置修正
位置修正,027-位置修正.png,027-位置修正.png,2,设置 X、Y 和角度修正量,设置 X、Y 和角度修正量
位置修正,027-位置修正.png,027-位置修正.png,3,保存修正参数,保存修正参数
保存图片,028-保存图片.png,028-保存图片.png,1,选择存图路径和输入图像,选择存图路径和输入图像
保存图片,028-保存图片.png,028-保存图片.png,2,设置图片命名和子目录,设置图片命名和子目录
保存图片,028-保存图片.png,028-保存图片.png,3,设置保存条件和压缩选项,设置保存条件和压缩选项
保存图片,028-保存图片.png,028-保存图片.png,4,保存节点配置,保存节点配置
光源控制器,029-光源控制器.png,029-光源控制器.png,1,设备列表与新增入口,设备列表与新增入口
全局信号,030-全局信号.png,030-全局信号.png,1,配置视觉准备信号,配置视觉准备信号
全局信号,030-全局信号.png,030-全局信号.png,2,配置视觉离线信号,配置视觉离线信号
全局信号,030-全局信号.png,030-全局信号.png,3,配置视觉监听信号,配置视觉监听信号
共享变量,031-共享变量.png,031-共享变量.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
共享变量,031-共享变量.png,031-共享变量.png,2,设置共享变量参数,设置共享变量参数
共享变量,031-共享变量.png,031-共享变量.png,3,保存或确认配置,保存或确认配置
卡尺找圆,032-卡尺找圆.png,032-卡尺找圆.png,1,选择输入图像或上游结果,选择输入图像或上游结果
卡尺找圆,032-卡尺找圆.png,032-卡尺找圆.png,2,设置卡尺找圆关键参数,设置卡尺找圆关键参数
卡尺找圆,032-卡尺找圆.png,032-卡尺找圆.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
卡尺找圆,032-卡尺找圆.png,032-卡尺找圆.png,4,执行并确认,执行并确认
卡尺找椭圆,033-卡尺找椭圆.png,033-卡尺找椭圆.png,1,选择输入图像或上游结果,选择输入图像或上游结果
卡尺找椭圆,033-卡尺找椭圆.png,033-卡尺找椭圆.png,2,设置卡尺找椭圆关键参数,设置卡尺找椭圆关键参数
卡尺找椭圆,033-卡尺找椭圆.png,033-卡尺找椭圆.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
卡尺找椭圆,033-卡尺找椭圆.png,033-卡尺找椭圆.png,4,执行并确认,执行并确认
卡尺找线,034-卡尺找线.png,034-卡尺找线.png,1,选择输入图像或上游结果,选择输入图像或上游结果
卡尺找线,034-卡尺找线.png,034-卡尺找线.png,2,设置卡尺找线关键参数,设置卡尺找线关键参数
卡尺找线,034-卡尺找线.png,034-卡尺找线.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
卡尺找线,034-卡尺找线.png,034-卡尺找线.png,4,执行并确认,执行并确认
发送AI结果,035-发送AI结果.png,035-发送AI结果.png,1,选择通信设备或信号来源,选择通信设备或信号来源
发送AI结果,035-发送AI结果.png,035-发送AI结果.png,2,设置发送AI结果参数,设置发送AI结果参数
发送AI结果,035-发送AI结果.png,035-发送AI结果.png,3,保存或确认配置,保存或确认配置
否则,036-否则.png,036-否则.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
否则,036-否则.png,036-否则.png,2,设置否则参数,设置否则参数
否则,036-否则.png,036-否则.png,3,保存或确认配置,保存或确认配置
四则运算,037-四则运算.png,037-四则运算.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
四则运算,037-四则运算.png,037-四则运算.png,2,设置四则运算参数,设置四则运算参数
四则运算,037-四则运算.png,037-四则运算.png,3,保存或确认配置,保存或确认配置
图像分割,038-图像分割.png,038-图像分割.png,1,选择输入图像或上游结果,选择输入图像或上游结果
图像分割,038-图像分割.png,038-图像分割.png,2,设置图像分割关键参数,设置图像分割关键参数
图像分割,038-图像分割.png,038-图像分割.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
图像分割,038-图像分割.png,038-图像分割.png,4,执行并确认,执行并确认
图像旋转,039-图像旋转.png,039-图像旋转.png,1,选择输入图像或上游结果,选择输入图像或上游结果
图像旋转,039-图像旋转.png,039-图像旋转.png,2,设置图像旋转关键参数,设置图像旋转关键参数
图像旋转,039-图像旋转.png,039-图像旋转.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
图像旋转,039-图像旋转.png,039-图像旋转.png,4,执行并确认,执行并确认
图像显示,040-图像显示.png,040-图像显示.png,1,订阅需要显示的图像,订阅需要显示的图像
图像显示,040-图像显示.png,040-图像显示.png,2,确认图像显示配置,确认图像显示配置
图像源,041-图像源.png,041-图像源.png,1,选择相机或本地图像来源,选择相机或本地图像来源
图像源,041-图像源.png,041-图像源.png,2,设置触发、超时和采集参数,设置触发、超时和采集参数
图像源,041-图像源.png,041-图像源.png,3,保存图像源配置,保存图像源配置
图像裁剪,042-图像裁剪.png,042-图像裁剪.png,1,选择输入图像或上游结果,选择输入图像或上游结果
图像裁剪,042-图像裁剪.png,042-图像裁剪.png,2,设置图像裁剪关键参数,设置图像裁剪关键参数
图像裁剪,042-图像裁剪.png,042-图像裁剪.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
图像裁剪,042-图像裁剪.png,042-图像裁剪.png,4,执行并确认,执行并确认
图像预处理,043-图像预处理.png,043-图像预处理.png,1,选择输入图像或上游结果,选择输入图像或上游结果
图像预处理,043-图像预处理.png,043-图像预处理.png,2,设置图像预处理关键参数,设置图像预处理关键参数
图像预处理,043-图像预处理.png,043-图像预处理.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
图像预处理,043-图像预处理.png,043-图像预处理.png,4,执行并确认,执行并确认
圆检测,044-圆检测.png,044-圆检测.png,1,选择输入图像或上游结果,选择输入图像或上游结果
圆检测,044-圆检测.png,044-圆检测.png,2,设置圆检测关键参数,设置圆检测关键参数
圆检测,044-圆检测.png,044-圆检测.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
圆检测,044-圆检测.png,044-圆检测.png,4,执行并确认,执行并确认
多条件判断,045-多条件判断.png,045-多条件判断.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
多条件判断,045-多条件判断.png,045-多条件判断.png,2,设置多条件判断参数,设置多条件判断参数
多条件判断,045-多条件判断.png,045-多条件判断.png,3,保存或确认配置,保存或确认配置
大模型调用,046-大模型调用.png,046-大模型调用.png,1,选择输入图像或上游结果,选择输入图像或上游结果
大模型调用,046-大模型调用.png,046-大模型调用.png,2,设置大模型调用关键参数,设置大模型调用关键参数
大模型调用,046-大模型调用.png,046-大模型调用.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
大模型调用,046-大模型调用.png,046-大模型调用.png,4,执行并确认,执行并确认
如果,047-如果.png,047-如果.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
如果,047-如果.png,047-如果.png,2,设置如果参数,设置如果参数
如果,047-如果.png,047-如果.png,3,保存或确认配置,保存或确认配置
定期删除图片,048-定期删除图片.png,048-定期删除图片.png,1,选择上游结果或目标目录,选择上游结果或目标目录
定期删除图片,048-定期删除图片.png,048-定期删除图片.png,2,设置定期删除图片参数,设置定期删除图片参数
定期删除图片,048-定期删除图片.png,048-定期删除图片.png,3,保存或确认配置,保存或确认配置
导出检测表格,049-导出检测表格.png,049-导出检测表格.png,1,选择导出目录和文件名,选择导出目录和文件名
导出检测表格,049-导出检测表格.png,049-导出检测表格.png,2,选择导出字段和分卷规则,选择导出字段和分卷规则
导出检测表格,049-导出检测表格.png,049-导出检测表格.png,3,保存导出配置,保存导出配置
延迟执行,050-延迟执行.png,050-延迟执行.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
延迟执行,050-延迟执行.png,050-延迟执行.png,2,设置延迟执行参数,设置延迟执行参数
延迟执行,050-延迟执行.png,050-延迟执行.png,3,保存或确认配置,保存或确认配置
弹窗,051-弹窗.png,051-弹窗.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
弹窗,051-弹窗.png,051-弹窗.png,2,设置弹窗参数,设置弹窗参数
弹窗,051-弹窗.png,051-弹窗.png,3,保存或确认配置,保存或确认配置
打开光源,052-打开光源.png,052-打开光源.png,1,选择通信设备或信号来源,选择通信设备或信号来源
打开光源,052-打开光源.png,052-打开光源.png,2,设置打开光源参数,设置打开光源参数
打开光源,052-打开光源.png,052-打开光源.png,3,保存或确认配置,保存或确认配置
找点,053-找点.png,053-找点.png,1,选择输入图像或上游结果,选择输入图像或上游结果
找点,053-找点.png,053-找点.png,2,设置找点关键参数,设置找点关键参数
找点,053-找点.png,053-找点.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
找点,053-找点.png,053-找点.png,4,执行并确认,执行并确认
方案管理,054-方案管理.png,054-方案管理.png,1,选择或新建流程,选择或新建流程
方案管理,054-方案管理.png,054-方案管理.png,2,配置方案流程工作区,配置方案流程工作区
无监督检测,055-无监督检测.png,055-无监督检测.png,1,选择输入图像或上游结果,选择输入图像或上游结果
无监督检测,055-无监督检测.png,055-无监督检测.png,2,设置无监督检测关键参数,设置无监督检测关键参数
无监督检测,055-无监督检测.png,055-无监督检测.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
无监督检测,055-无监督检测.png,055-无监督检测.png,4,执行并确认,执行并确认
条件运行,056-条件运行.png,056-条件运行.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
条件运行,056-条件运行.png,056-条件运行.png,2,设置条件运行参数,设置条件运行参数
条件运行,056-条件运行.png,056-条件运行.png,3,保存或确认配置,保存或确认配置
检测结果显示,057-检测结果显示.png,057-检测结果显示.png,1,选择上游结果或目标目录,选择上游结果或目标目录
检测结果显示,057-检测结果显示.png,057-检测结果显示.png,2,设置检测结果显示参数,设置检测结果显示参数
检测结果显示,057-检测结果显示.png,057-检测结果显示.png,3,保存或确认配置,保存或确认配置
检测项配置,058-检测项配置.png,058-检测项配置.png,1,选择检测项文件和刷新列表,选择检测项文件和刷新列表
检测项配置,058-检测项配置.png,058-检测项配置.png,2,配置检测项名称和规格,配置检测项名称和规格
检测项配置,058-检测项配置.png,058-检测项配置.png,3,添加、导出并保存检测项,添加、导出并保存检测项
模版匹配,059-模版匹配.png,059-模版匹配.png,1,选择输入图像或上游结果,选择输入图像或上游结果
模版匹配,059-模版匹配.png,059-模版匹配.png,2,设置模版匹配关键参数,设置模版匹配关键参数
模版匹配,059-模版匹配.png,059-模版匹配.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
模版匹配,059-模版匹配.png,059-模版匹配.png,4,执行并确认,执行并确认
流程信号,060-流程信号.png,060-流程信号.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
流程信号,060-流程信号.png,060-流程信号.png,2,设置流程信号参数,设置流程信号参数
流程信号,060-流程信号.png,060-流程信号.png,3,保存或确认配置,保存或确认配置
流程画布,061-流程画布.png,061-流程画布.png,1,流程标签与新增删除入口,流程标签与新增删除入口
流程画布,061-流程画布.png,061-流程画布.png,2,8个真实节点与8条连接线,8个真实节点与8条连接线
流程画布,061-流程画布.png,061-流程画布.png,3,启动循环停止控制,启动循环停止控制
流程画布,061-流程画布.png,061-流程画布.png,4,图像预览区,图像预览区
流程管理,062-流程管理.png,062-流程管理.png,1,流程标签,流程标签
流程管理,062-流程管理.png,062-流程管理.png,2,新增流程按钮,新增流程按钮
流程管理,062-流程管理.png,062-流程管理.png,3,删除流程按钮,删除流程按钮
流程管理,062-流程管理.png,062-流程管理.png,4,8个真实节点与连接线,8个真实节点与连接线
点到区域距离,063-点到区域距离.png,063-点到区域距离.png,1,选择输入图像或上游结果,选择输入图像或上游结果
点到区域距离,063-点到区域距离.png,063-点到区域距离.png,2,设置点到区域距离关键参数,设置点到区域距离关键参数
点到区域距离,063-点到区域距离.png,063-点到区域距离.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
点到区域距离,063-点到区域距离.png,063-点到区域距离.png,4,执行并确认,执行并确认
点到点距离,064-点到点距离.png,064-点到点距离.png,1,选择输入图像或上游结果,选择输入图像或上游结果
点到点距离,064-点到点距离.png,064-点到点距离.png,2,设置点到点距离关键参数,设置点到点距离关键参数
点到点距离,064-点到点距离.png,064-点到点距离.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
点到点距离,064-点到点距离.png,064-点到点距离.png,4,执行并确认,执行并确认
点到线距离,065-点到线距离.png,065-点到线距离.png,1,选择输入图像或上游结果,选择输入图像或上游结果
点到线距离,065-点到线距离.png,065-点到线距离.png,2,设置点到线距离关键参数,设置点到线距离关键参数
点到线距离,065-点到线距离.png,065-点到线距离.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
点到线距离,065-点到线距离.png,065-点到线距离.png,4,执行并确认,执行并确认
用户登录与权限,066-用户登录与权限.png,066-用户登录与权限.png,1,选择人员角色并输入权限密码,选择人员角色并输入权限密码
用户登录与权限,066-用户登录与权限.png,066-用户登录与权限.png,2,登录或退出当前角色,登录或退出当前角色
电池极耳检测,067-电池极耳检测.png,067-电池极耳检测.png,1,选择输入图像或上游结果,选择输入图像或上游结果
电池极耳检测,067-电池极耳检测.png,067-电池极耳检测.png,2,设置电池极耳检测关键参数,设置电池极耳检测关键参数
电池极耳检测,067-电池极耳检测.png,067-电池极耳检测.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
电池极耳检测,067-电池极耳检测.png,067-电池极耳检测.png,4,执行并确认,执行并确认
监听全局信号,068-监听全局信号.png,068-监听全局信号.png,1,选择通信设备或信号来源,选择通信设备或信号来源
监听全局信号,068-监听全局信号.png,068-监听全局信号.png,2,设置监听全局信号参数,设置监听全局信号参数
监听全局信号,068-监听全局信号.png,068-监听全局信号.png,3,保存或确认配置,保存或确认配置
直线检测,069-直线检测.png,069-直线检测.png,1,选择输入图像或上游结果,选择输入图像或上游结果
直线检测,069-直线检测.png,069-直线检测.png,2,设置直线检测关键参数,设置直线检测关键参数
直线检测,069-直线检测.png,069-直线检测.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
直线检测,069-直线检测.png,069-直线检测.png,4,执行并确认,执行并确认
相机IO,070-相机IO.png,070-相机IO.png,1,选择通信设备或信号来源,选择通信设备或信号来源
相机IO,070-相机IO.png,070-相机IO.png,2,设置相机IO参数,设置相机IO参数
相机IO,070-相机IO.png,070-相机IO.png,3,保存或确认配置,保存或确认配置
相机IO手动控制,071-相机IO手动控制.png,071-相机IO手动控制.png,1,选择通信设备或信号来源,选择通信设备或信号来源
相机IO手动控制,071-相机IO手动控制.png,071-相机IO手动控制.png,2,设置相机IO手动控制参数,设置相机IO手动控制参数
相机IO手动控制,071-相机IO手动控制.png,071-相机IO手动控制.png,3,保存或确认配置,保存或确认配置
科锐IO模块,072-科锐IO模块.png,072-科锐IO模块.png,1,选择通信设备或信号来源,选择通信设备或信号来源
科锐IO模块,072-科锐IO模块.png,072-科锐IO模块.png,2,设置科锐IO模块参数,设置科锐IO模块参数
科锐IO模块,072-科锐IO模块.png,072-科锐IO模块.png,3,保存或确认配置,保存或确认配置
等待流程完成,073-等待流程完成.png,073-等待流程完成.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
等待流程完成,073-等待流程完成.png,073-等待流程完成.png,2,设置等待流程完成参数,设置等待流程完成参数
等待流程完成,073-等待流程完成.png,073-等待流程完成.png,3,保存或确认配置,保存或确认配置
系统设置,074-系统设置.png,074-系统设置.png,1,设置软件启动方式,设置软件启动方式
系统设置,074-系统设置.png,074-系统设置.png,2,设置默认方案与自动运行,设置默认方案与自动运行
系统设置,074-系统设置.png,074-系统设置.png,3,设置日志记录级别,设置日志记录级别
线到线夹角,075-线到线夹角.png,075-线到线夹角.png,1,选择输入图像或上游结果,选择输入图像或上游结果
线到线夹角,075-线到线夹角.png,075-线到线夹角.png,2,设置线到线夹角关键参数,设置线到线夹角关键参数
线到线夹角,075-线到线夹角.png,075-线到线夹角.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
线到线夹角,075-线到线夹角.png,075-线到线夹角.png,4,执行并确认,执行并确认
线组合拟合,076-线组合拟合.png,076-线组合拟合.png,1,选择输入图像或上游结果,选择输入图像或上游结果
线组合拟合,076-线组合拟合.png,076-线组合拟合.png,2,设置线组合拟合关键参数,设置线组合拟合关键参数
线组合拟合,076-线组合拟合.png,076-线组合拟合.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
线组合拟合,076-线组合拟合.png,076-线组合拟合.png,4,执行并确认,执行并确认
组合模块,077-组合模块.png,077-组合模块.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
组合模块,077-组合模块.png,077-组合模块.png,2,设置组合模块参数,设置组合模块参数
组合模块,077-组合模块.png,077-组合模块.png,3,保存或确认配置,保存或确认配置
组合输入,078-组合输入.png,078-组合输入.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
组合输入,078-组合输入.png,078-组合输入.png,2,设置组合输入参数,设置组合输入参数
组合输入,078-组合输入.png,078-组合输入.png,3,保存或确认配置,保存或确认配置
组合输出,079-组合输出.png,079-组合输出.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
组合输出,079-组合输出.png,079-组合输出.png,2,设置组合输出参数,设置组合输出参数
组合输出,079-组合输出.png,079-组合输出.png,3,保存或确认配置,保存或确认配置
结束如果,080-结束如果.png,080-结束如果.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
结束如果,080-结束如果.png,080-结束如果.png,2,设置结束如果参数,设置结束如果参数
结束如果,080-结束如果.png,080-结束如果.png,3,保存或确认配置,保存或确认配置
结果汇总,081-结果汇总.png,081-结果汇总.png,1,选择上游结果或目标目录,选择上游结果或目标目录
结果汇总,081-结果汇总.png,081-结果汇总.png,2,设置结果汇总参数,设置结果汇总参数
结果汇总,081-结果汇总.png,081-结果汇总.png,3,保存或确认配置,保存或确认配置
触发同组流程,082-触发同组流程.png,082-触发同组流程.png,1,选择条件、变量或目标流程,选择条件、变量或目标流程
触发同组流程,082-触发同组流程.png,082-触发同组流程.png,2,设置触发同组流程参数,设置触发同组流程参数
触发同组流程,082-触发同组流程.png,082-触发同组流程.png,3,保存或确认配置,保存或确认配置
运行参数,083-运行参数.png,083-运行参数.png,1,客户演示流程标签,客户演示流程标签
运行参数,083-运行参数.png,083-运行参数.png,2,曝光增益与AI阈值区,曝光增益与AI阈值区
运行参数,083-运行参数.png,083-运行参数.png,3,单图批量测试与保存设置,单图批量测试与保存设置
运行参数,083-运行参数.png,083-运行参数.png,4,运行参数字段表,运行参数字段表
运行控制,084-运行控制.png,084-运行控制.png,1,节点数量与运行耗时,节点数量与运行耗时
运行控制,084-运行控制.png,084-运行控制.png,2,启动循环停止按钮,启动循环停止按钮
运行控制,084-运行控制.png,084-运行控制.png,3,已建立流程节点与连接线,已建立流程节点与连接线
运行日志,085-运行日志.png,085-运行日志.png,1,从视图菜单打开运行日志,从视图菜单打开运行日志
运行日志,085-运行日志.png,085-运行日志.png,2,查看流程运行状态,查看流程运行状态
颜色识别,086-颜色识别.png,086-颜色识别.png,1,选择输入图像或上游结果,选择输入图像或上游结果
颜色识别,086-颜色识别.png,086-颜色识别.png,2,设置颜色识别关键参数,设置颜色识别关键参数
颜色识别,086-颜色识别.png,086-颜色识别.png,3,查看 ROI 或运行效果,查看 ROI 或运行效果
颜色识别,086-颜色识别.png,086-颜色识别.png,4,执行并确认,执行并确认
