模块,原图,标注图,编号,说明,归一化矩形
三维相机,049-TDJS_Vision.Node._1_Acquisition.ImageSource3D.ParamFormImageSource3D.png,020-三维相机.png,3,确认三维取图配置,"0.3000,0.7400,0.7000,0.9600"
串口发送,076-TDJS_Vision.Node._5_EquipmentCommunication.ComSend.ParamFormComSend.png,021-串口发送.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
串口发送,076-TDJS_Vision.Node._5_EquipmentCommunication.ComSend.ParamFormComSend.png,021-串口发送.png,2,设置串口发送参数,"0.0500,0.3400,0.9500,0.7800"
串口发送,076-TDJS_Vision.Node._5_EquipmentCommunication.ComSend.ParamFormComSend.png,021-串口发送.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
串口通信,014-TDJS_Vision.Forms.COMAdd.FrmCOMListView.png,022-串口通信.png,1,设备列表与新增入口,"0.0100,0.0600,0.2600,0.9800"
串口通信,014-TDJS_Vision.Forms.COMAdd.FrmCOMListView.png,022-串口通信.png,2,设置串口通信通信参数,"0.2500,0.0600,0.9900,0.9800"
主界面与视图管理,002-平台基础-主界面-停止运行状态.png,023-主界面与视图管理.png,1,菜单和常用工具栏,"0.0000,0.0000,0.7600,0.1100"
主界面与视图管理,002-平台基础-主界面-停止运行状态.png,023-主界面与视图管理.png,2,方案与流程标签页,"0.0000,0.1000,0.4800,0.1800"
主界面与视图管理,002-平台基础-主界面-停止运行状态.png,023-主界面与视图管理.png,3,图像和运行监控区域,"0.0200,0.1700,0.9900,0.9900"
二值化分析,055-TDJS_Vision.Node._3_Detection.ColorDiscern.NodeParamFormBinaryAnalysis.png,024-二值化分析.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
二值化分析,055-TDJS_Vision.Node._3_Detection.ColorDiscern.NodeParamFormBinaryAnalysis.png,024-二值化分析.png,2,设置二值化分析关键参数,"0.0200,0.2700,0.4600,0.8400"
二值化分析,055-TDJS_Vision.Node._3_Detection.ColorDiscern.NodeParamFormBinaryAnalysis.png,024-二值化分析.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
二值化分析,055-TDJS_Vision.Node._3_Detection.ColorDiscern.NodeParamFormBinaryAnalysis.png,024-二值化分析.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
二维工业相机,012-TDJS_Vision.Forms.CameraAdd.FrmCameraInfo.png,025-二维工业相机.png,1,选择相机品牌和设备,"0.0300,0.1000,0.6800,0.5200"
二维工业相机,012-TDJS_Vision.Forms.CameraAdd.FrmCameraInfo.png,025-二维工业相机.png,2,搜索在线相机,"0.7200,0.2800,0.9600,0.5400"
二维工业相机,012-TDJS_Vision.Forms.CameraAdd.FrmCameraInfo.png,025-二维工业相机.png,3,填写相机自定义名称,"0.0300,0.5400,0.6800,0.7600"
二维工业相机,012-TDJS_Vision.Forms.CameraAdd.FrmCameraInfo.png,025-二维工业相机.png,4,添加相机,"0.7200,0.7200,0.9600,0.9600"
二维码识别,061-TDJS_Vision.Node._3_Detection.QRScan.NodeParamFormQRScan.png,026-二维码识别.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
二维码识别,061-TDJS_Vision.Node._3_Detection.QRScan.NodeParamFormQRScan.png,026-二维码识别.png,2,设置二维码识别关键参数,"0.0200,0.2700,0.4600,0.8400"
二维码识别,061-TDJS_Vision.Node._3_Detection.QRScan.NodeParamFormQRScan.png,026-二维码识别.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
二维码识别,061-TDJS_Vision.Node._3_Detection.QRScan.NodeParamFormQRScan.png,026-二维码识别.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
位置修正,072-TDJS_Vision.Node._4_Measurement.PositionCorrection.NodeParamFormPositionCorrection.png,027-位置修正.png,1,启用位置修正,"0.0500,0.1000,0.9500,0.3400"
位置修正,072-TDJS_Vision.Node._4_Measurement.PositionCorrection.NodeParamFormPositionCorrection.png,027-位置修正.png,2,设置 X、Y 和角度修正量,"0.0500,0.3000,0.9500,0.8200"
位置修正,072-TDJS_Vision.Node._4_Measurement.PositionCorrection.NodeParamFormPositionCorrection.png,027-位置修正.png,3,保存修正参数,"0.2600,0.8000,0.7400,0.9700"
保存图片,106-TDJS_Vision.Node._7_ResultProcessing.ImageSave.ParamFormImageSave.png,028-保存图片.png,1,选择存图路径和输入图像,"0.0200,0.0500,0.9800,0.2400"
保存图片,106-TDJS_Vision.Node._7_ResultProcessing.ImageSave.ParamFormImageSave.png,028-保存图片.png,2,设置图片命名和子目录,"0.0200,0.2200,0.9800,0.4800"
保存图片,106-TDJS_Vision.Node._7_ResultProcessing.ImageSave.ParamFormImageSave.png,028-保存图片.png,3,设置保存条件和压缩选项,"0.0200,0.4600,0.9800,0.8600"
保存图片,106-TDJS_Vision.Node._7_ResultProcessing.ImageSave.ParamFormImageSave.png,028-保存图片.png,4,保存节点配置,"0.3500,0.8500,0.6500,0.9900"
光源控制器,026-TDJS_Vision.Forms.LightAdd.FrmLightListView.png,029-光源控制器.png,1,设备列表与新增入口,"0.0100,0.0600,0.2600,0.9800"
光源控制器,026-TDJS_Vision.Forms.LightAdd.FrmLightListView.png,029-光源控制器.png,2,设置光源控制器通信参数,"0.2500,0.0600,0.9900,0.9800"
全局信号,017-TDJS_Vision.Forms.GlobalSignalSettings.FormGlobalSignal.png,030-全局信号.png,1,配置视觉准备信号,"0.0400,0.0800,0.9600,0.3500"
全局信号,017-TDJS_Vision.Forms.GlobalSignalSettings.FormGlobalSignal.png,030-全局信号.png,2,配置视觉离线信号,"0.0400,0.3400,0.9600,0.6500"
全局信号,017-TDJS_Vision.Forms.GlobalSignalSettings.FormGlobalSignal.png,030-全局信号.png,3,配置视觉监听信号,"0.0400,0.6400,0.9600,0.9500"
共享变量,099-TDJS_Vision.Node._6_LogicTool.SharedVariable.NodeParamFormSharedVariable.png,031-共享变量.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
共享变量,099-TDJS_Vision.Node._6_LogicTool.SharedVariable.NodeParamFormSharedVariable.png,031-共享变量.png,2,设置共享变量参数,"0.0500,0.3400,0.9500,0.7800"
共享变量,099-TDJS_Vision.Node._6_LogicTool.SharedVariable.NodeParamFormSharedVariable.png,031-共享变量.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
卡尺找圆,064-TDJS_Vision.Node._4_Measurement.CaliperCircle.NodeParamFormCaliperCircle.png,032-卡尺找圆.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
卡尺找圆,064-TDJS_Vision.Node._4_Measurement.CaliperCircle.NodeParamFormCaliperCircle.png,032-卡尺找圆.png,2,设置卡尺找圆关键参数,"0.0200,0.2700,0.4600,0.8400"
卡尺找圆,064-TDJS_Vision.Node._4_Measurement.CaliperCircle.NodeParamFormCaliperCircle.png,032-卡尺找圆.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
卡尺找圆,064-TDJS_Vision.Node._4_Measurement.CaliperCircle.NodeParamFormCaliperCircle.png,032-卡尺找圆.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
卡尺找椭圆,065-TDJS_Vision.Node._4_Measurement.CaliperEllipse.NodeParamFormCaliperEllipse.png,033-卡尺找椭圆.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
卡尺找椭圆,065-TDJS_Vision.Node._4_Measurement.CaliperEllipse.NodeParamFormCaliperEllipse.png,033-卡尺找椭圆.png,2,设置卡尺找椭圆关键参数,"0.0200,0.2700,0.4600,0.8400"
卡尺找椭圆,065-TDJS_Vision.Node._4_Measurement.CaliperEllipse.NodeParamFormCaliperEllipse.png,033-卡尺找椭圆.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
卡尺找椭圆,065-TDJS_Vision.Node._4_Measurement.CaliperEllipse.NodeParamFormCaliperEllipse.png,033-卡尺找椭圆.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
卡尺找线,066-TDJS_Vision.Node._4_Measurement.CaliperLine.NodeParamFormCaliperLine.png,034-卡尺找线.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
卡尺找线,066-TDJS_Vision.Node._4_Measurement.CaliperLine.NodeParamFormCaliperLine.png,034-卡尺找线.png,2,设置卡尺找线关键参数,"0.0200,0.2700,0.4600,0.8400"
卡尺找线,066-TDJS_Vision.Node._4_Measurement.CaliperLine.NodeParamFormCaliperLine.png,034-卡尺找线.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
卡尺找线,066-TDJS_Vision.Node._4_Measurement.CaliperLine.NodeParamFormCaliperLine.png,034-卡尺找线.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
发送AI结果,073-TDJS_Vision.Node._5_EquipmentCommunication.AIResultSend.ParamFormSignalSend.png,035-发送AI结果.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
发送AI结果,073-TDJS_Vision.Node._5_EquipmentCommunication.AIResultSend.ParamFormSignalSend.png,035-发送AI结果.png,2,设置发送AI结果参数,"0.0500,0.3400,0.9500,0.7800"
发送AI结果,073-TDJS_Vision.Node._5_EquipmentCommunication.AIResultSend.ParamFormSignalSend.png,035-发送AI结果.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
否则,094-TDJS_Vision.Node._6_LogicTool.If.NodeParamFormIf.png,036-否则.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
否则,094-TDJS_Vision.Node._6_LogicTool.If.NodeParamFormIf.png,036-否则.png,2,设置否则参数,"0.0500,0.3400,0.9500,0.7800"
否则,094-TDJS_Vision.Node._6_LogicTool.If.NodeParamFormIf.png,036-否则.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
四则运算,088-TDJS_Vision.Node._6_LogicTool.ArithmeticOperation.NodeParamFormArithmeticOperation.png,037-四则运算.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
四则运算,088-TDJS_Vision.Node._6_LogicTool.ArithmeticOperation.NodeParamFormArithmeticOperation.png,037-四则运算.png,2,设置四则运算参数,"0.0500,0.3400,0.9500,0.7800"
四则运算,088-TDJS_Vision.Node._6_LogicTool.ArithmeticOperation.NodeParamFormArithmeticOperation.png,037-四则运算.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
图像分割,053-TDJS_Vision.Node._2_ImagePreprocessing.ImageSplit.ParamFormImageSplit.png,038-图像分割.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
图像分割,053-TDJS_Vision.Node._2_ImagePreprocessing.ImageSplit.ParamFormImageSplit.png,038-图像分割.png,2,设置图像分割关键参数,"0.0200,0.2700,0.4600,0.8400"
图像分割,053-TDJS_Vision.Node._2_ImagePreprocessing.ImageSplit.ParamFormImageSplit.png,038-图像分割.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
图像分割,053-TDJS_Vision.Node._2_ImagePreprocessing.ImageSplit.ParamFormImageSplit.png,038-图像分割.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
图像旋转,052-TDJS_Vision.Node._2_ImagePreprocessing.ImageRotate.NodeParamFormImageRotate.png,039-图像旋转.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
图像旋转,052-TDJS_Vision.Node._2_ImagePreprocessing.ImageRotate.NodeParamFormImageRotate.png,039-图像旋转.png,2,设置图像旋转关键参数,"0.0200,0.2700,0.4600,0.8400"
图像旋转,052-TDJS_Vision.Node._2_ImagePreprocessing.ImageRotate.NodeParamFormImageRotate.png,039-图像旋转.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
图像旋转,052-TDJS_Vision.Node._2_ImagePreprocessing.ImageRotate.NodeParamFormImageRotate.png,039-图像旋转.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
图像显示,047-TDJS_Vision.Node._1_Acquisition.ImageSource.ParamFormImageShow.png,040-图像显示.png,1,订阅需要显示的图像,"0.0500,0.1200,0.9500,0.6200"
图像显示,047-TDJS_Vision.Node._1_Acquisition.ImageSource.ParamFormImageShow.png,040-图像显示.png,2,确认图像显示配置,"0.2600,0.6000,0.7400,0.9600"
图像源,048-TDJS_Vision.Node._1_Acquisition.ImageSource.ParamFormImageSource.png,041-图像源.png,1,选择相机或本地图像来源,"0.0400,0.1000,0.9600,0.4200"
图像源,048-TDJS_Vision.Node._1_Acquisition.ImageSource.ParamFormImageSource.png,041-图像源.png,2,设置触发、超时和采集参数,"0.0400,0.3800,0.9600,0.8200"
图像源,048-TDJS_Vision.Node._1_Acquisition.ImageSource.ParamFormImageSource.png,041-图像源.png,3,保存图像源配置,"0.3000,0.8000,0.7000,0.9800"
图像裁剪,050-TDJS_Vision.Node._2_ImagePreprocessing.ImageCrop.NodeParamFormImageCrop.png,042-图像裁剪.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
图像裁剪,050-TDJS_Vision.Node._2_ImagePreprocessing.ImageCrop.NodeParamFormImageCrop.png,042-图像裁剪.png,2,设置图像裁剪关键参数,"0.0200,0.2700,0.4600,0.8400"
图像裁剪,050-TDJS_Vision.Node._2_ImagePreprocessing.ImageCrop.NodeParamFormImageCrop.png,042-图像裁剪.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
图像裁剪,050-TDJS_Vision.Node._2_ImagePreprocessing.ImageCrop.NodeParamFormImageCrop.png,042-图像裁剪.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
图像预处理,051-TDJS_Vision.Node._2_ImagePreprocessing.ImagePreprocess.NodeParamFormImagePreprocess.png,043-图像预处理.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
图像预处理,051-TDJS_Vision.Node._2_ImagePreprocessing.ImagePreprocess.NodeParamFormImagePreprocess.png,043-图像预处理.png,2,设置图像预处理关键参数,"0.0200,0.2700,0.4600,0.8400"
图像预处理,051-TDJS_Vision.Node._2_ImagePreprocessing.ImagePreprocess.NodeParamFormImagePreprocess.png,043-图像预处理.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
图像预处理,051-TDJS_Vision.Node._2_ImagePreprocessing.ImagePreprocess.NodeParamFormImagePreprocess.png,043-图像预处理.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
圆检测,057-TDJS_Vision.Node._3_Detection.FindCircle.NodeParamFormFindCircle.png,044-圆检测.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
圆检测,057-TDJS_Vision.Node._3_Detection.FindCircle.NodeParamFormFindCircle.png,044-圆检测.png,2,设置圆检测关键参数,"0.0200,0.2700,0.4600,0.8400"
圆检测,057-TDJS_Vision.Node._3_Detection.FindCircle.NodeParamFormFindCircle.png,044-圆检测.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
圆检测,057-TDJS_Vision.Node._3_Detection.FindCircle.NodeParamFormFindCircle.png,044-圆检测.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
多条件判断,096-TDJS_Vision.Node._6_LogicTool.MultiCondition.NodeParamFormMultiCondition.png,045-多条件判断.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
多条件判断,096-TDJS_Vision.Node._6_LogicTool.MultiCondition.NodeParamFormMultiCondition.png,045-多条件判断.png,2,设置多条件判断参数,"0.0500,0.3400,0.9500,0.7800"
多条件判断,096-TDJS_Vision.Node._6_LogicTool.MultiCondition.NodeParamFormMultiCondition.png,045-多条件判断.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
大模型调用,059-TDJS_Vision.Node._3_Detection.LargeModel.ParamFormLargeModelDetection.png,046-大模型调用.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
大模型调用,059-TDJS_Vision.Node._3_Detection.LargeModel.ParamFormLargeModelDetection.png,046-大模型调用.png,2,设置大模型调用关键参数,"0.0200,0.2700,0.4600,0.8400"
